district.state,district.number,district code
Iowa,3,IA3
Iowa,4,IA4
Kansas,1,KS1
Kansas,2,KS2
Kansas,3,KS3
Kansas,4,KS4
Kentucky,1,KY1
Kentucky,2,KY2
Kentucky,3,KY3
Kentucky,4,KY4
Kentucky,5,KY5
Kentucky,6,KY6
Louisiana,1,LA1
Louisiana,2,LA2
Louisiana,3,LA3
Louisiana,4,LA4
Louisiana,5,LA5
New Jersey,6,NJ6
New Jersey,7,NJ7
New Jersey,8,NJ8
New Jersey,9,NJ9
New Jersey,10,NJ10
New Jersey,11,NJ11
New Jersey,12,NJ12
New Mexico,1,NM1
New Mexico,2,NM2
New Mexico,3,NM3
New York,1,NY1
New York,2,NY2
New York,3,NY3
New York,4,NY4
New York,5,NY5
New York,6,NY6
New York,7,NY7
New York,8,NY8
New York,21,NY21
New York,22,NY22
New York,23,NY23
New York,24,NY24
New York,25,NY25
New York,26,NY26
New York,27,NY27
North Carolina,1,NC1
North Carolina,5,NC5
North Carolina,6,NC6
North Carolina,7,NC7
North Carolina,8,NC8
North Carolina,9,NC9
North Carolina,10,NC10
North Carolina,11,NC11
North Carolina,12,NC12
North Carolina,13,NC13
North Dakota,0,ND0
Ohio,1,OH1
Ohio,2,OH2
Ohio,3,OH3
Ohio,4,OH4
Ohio,5,OH5
Ohio,6,OH6
Ohio,7,OH7
Ohio,8,OH8
Ohio,9,OH9
Ohio,10,OH10
Ohio,11,OH11
Ohio,12,OH12
Ohio,13,OH13
Ohio,14,OH14
Ohio,15,OH15
Ohio,16,OH16
Texas,22,TX22
Texas,23,TX23
Texas,24,TX24
Texas,25,TX25
Texas,26,TX26
Texas,27,TX27
Texas,28,TX28
Texas,29,TX29
Texas,30,TX30
Texas,31,TX31
Texas,32,TX32
Texas,33,TX33
Texas,34,TX34
Texas,35,TX35
Texas,36,TX36
Utah,1,UT1
Utah,2,UT2
Utah,3,UT3
Utah,4,UT4
Vermont,0,VT0
Virginia,1,VA1
Virginia,2,VA2
Virginia,3,VA3
Virginia,4,VA4
Virginia,5,VA5
Virginia,6,VA6
Virginia,7,VA7
Virginia,8,VA8
Virginia,9,VA9
Virginia,10,VA10
Virginia,11,VA11
Washington,1,WA1
Washington,2,WA2
Washington,3,WA3
Washington,4,WA4
Washington,5,WA5
Washington,6,WA6
Washington,7,WA7
Washington,8,WA8
Washington,9,WA9
Washington,10,WA10
West Virginia,1,WV1
West Virginia,2,WV2
West Virginia,3,WV3
Wisconsin,1,WI1
Wisconsin,2,WI2
Wisconsin,3,WI3
Wisconsin,4,WI4
Wisconsin,5,WI5
Wisconsin,6,WI6
Wisconsin,7,WI7
Wisconsin,8,WI8
Wyoming,0,WY0
Alaska,0,AK0
New York,15,NY15
New York,16,NY16
